Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
MV411.BAY1251152.8h_Rep1,0.0661191769417553,9.38561948662065,1.80460075506323,4.48629839490958,1.50998184308157,0.872444098448537,4.17086174450027,0,0.786376858922043,0.845821937056826,22.2959254995656
MV411.BAY1251152.8h_Rep2,0.0688597888492826,9.27641573690964,3.36996518967275,2.84425645457064,1.53773325759848,0.936935706964387,3.98961870470501,0,0.816729005100263,0.832660546492194,22.0237848392702
MV411.OTX015.8h_Rep1,0.0373096375364002,10.4394143460978,3.79123321288412,0,1.28958593595967,0.464952243344947,3.35891222626221,0,0.612147339936223,0.898696581894001,19.3814076020851
MV411.OTX015.8h_Rep2,0.0588793967680779,10.6072544446453,4.35767475099472,0,1.46214736536652,0.479987128040168,3.66486264832943,0,0.589299044724679,0.901773537355372,20.6308057341442
MV411.OTX015.8h_Rep3,0.0520389404072738,10.5956781503376,3.64784094567993,0,1.07828968321595,0.478477133220676,4.17710129831148,0,0.591726838808681,0.908720302814213,20.0294261511729
MV411.BAY155.24h_Rep1,0.306077199046542,6.47160176740121,2.22458037776403,3.44677903883636,3.71007791112244,2.39217391116381,2.74076470344059,0,0.936108425740453,0.576201641462223,21.292054908775
MV411.BAY155.24h_Rep2,0.346917172525636,6.90365872708816,2.81501498122916,3.18826770666727,3.98536436381524,2.24279577408602,3.05353335973186,0,0.926120756764961,0.598968106939265,22.5355520851434
MV411.BAY155.24h_Rep3,0.335617630318516,6.71351581972595,1.89740375082555,4.21083102566323,4.03865142600257,2.54043400724888,2.6740383037253,0,0.936802071963356,0.568169937853788,22.41049196351
MV411.Brequinar.24h_Rep1,0.0470323185396419,7.53839176188001,2.11566119222561,3.07156890324097,6.77241858461071,0.777762751256031,4.74806357599682,0,0.9508226846953,0.566350927937733,25.0708990877498
MV411.Brequinar.24h_Rep2,0.048819367410207,6.57171816424482,0.567223657170657,4.83530440058463,5.11839644702098,0.883880160197323,5.90845089633402,0,0.92991378628658,0.635461406459826,23.9337930929626
MV411.Brequinar.24h_Rep3,0.0484847739540951,7.22598067175437,2.62587883442385,2.65306343570678,6.54703279068541,0.998583640873967,4.63820899769275,0,0.950383303257337,0.559741063002062,24.7372331450912
MV411.DMSO.24h_Rep1,0.0847167902112107,7.93058288047523,3.04917811585305,2.76780479156358,0,1.44240571199229,6.19848264821914,0,0.783870470415727,0.867411179569801,21.4731709383145
MV411.DMSO.24h_Rep2,0.0826882088256192,8.05424974622034,2.46398704097969,3.68326599182014,0,1.28276553098879,6.24283353329402,0,0.764672415264037,0.880754895789629,21.8097900521286
MV411.DMSO.24h_Rep3,0.0782045946170325,8.01855479051748,2.35414248418901,3.48071079964741,0,1.49057056329237,6.23910916565155,0,0.782084267372226,0.86584488549876,21.6612923979149
MV411.EPZ5676.96h_Rep1,0.362225331827427,3.53377118609693,1.4058053761253,4.43817986799144,5.8044366894728,2.30843660752965,2.88282087492691,0,0.955683623805472,0.439316262901386,20.7356759339705
MV411.EPZ5676.96h_Rep2,0.344268490668292,3.71446368107432,1.32060310348449,4.16640953392772,5.31337929584397,1.90755867981443,3.13385813612509,0,0.953049751620971,0.476701718300187,19.9005409209383
MV411.EPZ5676.96h_Rep3,0.325255569697467,3.30178221021261,2.77043704078641,2.66010444566005,5.98547190537197,2.46852798740566,2.39009951158693,0,0.958580974159342,0.397982302995698,19.9016786707211
MV411.DMSO.96h_Rep1,0.0380685047306562,1.4657089379208,2.76032333479008,4.30437607487337,0.231033972082309,0.284760258170967,6.63717526843096,0,0.785631303656034,0.908658795684893,15.7214463509991
MV411.DMSO.96h_Rep2,0.0254526812290369,1.43751094648575,2.73337925525448,3.80107243777312,0.240967029531687,0.277417210145489,6.31747407120511,0,0.788542027711676,0.905954788016702,14.8332736316247
MV411.DMSO.96h_Rep3,0.0283856877827665,1.38532529392746,2.34263375532947,4.22191160402037,0.171768330943637,0.292590218698599,6.30388241598754,0,0.799599809175663,0.907057820010287,14.7464973066898
ML2.BAY1251152.8h_Rep1,9.71749349514406,3.31924315903018,1.79065470044024,1.14053074250402,0,4.87976496796597,4.50402123204845,0,0.918696119715934,0.512328826490029,25.3517082971329
ML2.BAY1251152.8h_Rep2,8.56312812295435,4.34143072645287,3.65828627529326,0,0,5.75422471749215,3.78853198230781,0,0.937412035961526,0.496891804970511,26.1056018245004
ML2.BAY1251152.8h_Rep3,7.37933001182945,4.53580978709225,3.49018120924988,0,0,6.37567221113513,3.13353284498521,0,0.939779408779128,0.473689283489514,24.9145260642919
ML2.OTX015.8h_Rep1,4.86569795273394,4.95151773722668,3.08271348615938,0,0,4.06894433684521,4.90609425419378,0,0.853335932433472,0.650549771807036,21.874967767159
ML2.OTX015.8h_Rep2,4.07162502733898,5.43076372197034,3.16283040864764,0,0,4.42939001758996,4.20413404773719,0,0.858104509526115,0.638571866978519,21.2987432232841
ML2.OTX015.8h_Rep3,4.15392531565751,5.0413440693829,3.11237820356335,0,0,4.55809999007604,4.55448217805348,0,0.855233053783596,0.634614137454801,21.4202297567333
OCIAML3.BAY1251152.8h_Rep1,0.0163120535277858,5.69464781426701,2.72919039530674,6.69185742547265,1.15234253458293,3.55404199663793,5.24790999566976,0,0.644997785932968,0.815577817559269,25.0863022154648
OCIAML3.BAY1251152.8h_Rep2,0.0178639418602342,6.69082993163017,3.71945246940546,2.96412801028739,1.25584293785871,3.57517034822513,4.8578771739388,0,0.730746887780452,0.75999338649127,23.0811648132059
