Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
DMSO.1,0.880527142952733,1.09275466913613,0.38357233588804,0.760190866729502,0.0709563061093006,0,1.73482587194906,0,0.717830322451239,0.819925171266146,4.92282719276476
DMSO.2,0.878789826139837,1.04287666153213,0.374956766384983,0.782411961446455,0.0702700528760473,0,1.60218457991663,0,0.719999935363253,0.819003976105661,4.75148984829609
DMSO.3,1.02082909953565,0.980487285821097,0.34764234170868,0.843515616673325,0.082250755716197,0,1.6197647962604,0,0.72365587905824,0.814636137782463,4.89448989571536
DMSO.4,1.0091178393311,1.00244538302223,0.270224738399497,0.916172125635568,0.0835690142867522,0,1.65929283827332,0,0.741274740451545,0.808345013127867,4.94082193894846
CS1.1,0.876011535180665,1.60417711623324,0.432280859607605,0.36360778285528,0.50980226411228,0,2.63918049403448,0,0.704832815153981,0.802836243569493,6.42506005202355
CS1.2,0.840398353699096,1.58988171418558,0.621723894963275,0.196790779638645,0.52381891625336,0,2.75885732388573,0,0.700182469088625,0.805009758147677,6.53147098262569
CS1.3,0.944844411333173,1.49171199010304,0.296246220203795,0.898175273997503,0.526020984131486,0,2.5691209940652,0,0.69666076630796,0.808125956898728,6.7261198738342
CS2.1,0.746196916860337,2.38778038334853,0.968846629643751,0,1.74905212191023,0,1.08311637535968,0,0.650881060024662,0.771020499735707,6.93499242712253
CS2.2,0.776844999727923,2.44335586555147,1.04325716037235,0,1.78234782699293,0,1.08294752594414,0,0.65148415528802,0.771260651246484,7.12875337858881
CS2.3,0.848867001367408,2.29320767831028,1.08069231905398,0,1.75812058362409,0,1.07325557961117,0,0.648335958863494,0.773387190649612,7.05414316196693
shNS.1,1.23186383032901,0.345052354783068,0.426453014631164,0.680672360629111,0.0942163102518433,0,1.56855503246204,0,0.687841040899931,0.817930432209624,4.34681290308624
shNS.2,1.19755027197648,0.286930799275627,0.514416110202623,0.678036483926444,0.057209550684337,0,1.74366765094562,0,0.676747355160075,0.825712129976377,4.47781086701113
shNS.3,1.24862774317262,0.273778782627767,0.578626091155161,0.54313811501828,0.0551672565959417,0,1.70502048346273,0,0.70023104008705,0.815126578332104,4.40435847203251
shFTO.1,0.671260247567997,0,0.734117114031182,0.559311744473721,0,0.854256481314154,1.45896851124755,0,0.688443834593404,0.74311480802933,4.2779140986346
shFTO.2,0.563240409712177,0,0.851613344824657,0.578619523671072,0,0.889237324686633,1.46018156506151,0,0.66638072701441,0.758535769837051,4.34289216795605
shFTO.3,0.554120377553707,0.0222226684994022,0.744857755130446,0.915776181209094,0,1.08830213597933,1.49036714310042,0,0.701844215952694,0.726918243794615,4.8156462614724
