Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
ib6.3,0.215646463953669,0.584355807400128,0.751746696169819,0.00283245960647801,0.396188662979685,0,0.097796367969407,0,0.540105841615073,0.842453174214778,2.04856645807919
ib6.2,0.240614164903206,0.582336770857783,0.738531558459168,0,0.379833451193818,0,0.108182342048267,0,0.523904938279515,0.852153296409293,2.04949828746224
ib6.1,0.404363044752824,0.732232316681692,0.681493697913588,0,0.269047604979409,0,0.060214425764468,0,0.561063291444424,0.83456346099712,2.14735109009198
dox.ib2.3,0.29612146768162,0.599837428499029,0.46560713961758,0.281343783961949,0.366314152333235,0,0.111401260982553,0,0.667769634681352,0.766353232179698,2.12062523307596
dox.ib2.2,0.313166004137451,0.599467886327483,0.546686779896173,0.18432134076011,0.347201521294577,0,0.075131524488726,0,0.647409970174036,0.780249768551363,2.06597505690452
dox.ib2.1,0.34866608476427,0.614227696472533,0.600011271817437,0.112492568703123,0.348665034912362,0,0.0993518930605825,0,0.635518753149389,0.787529746728018,2.12341454973031
dox2.3,0.297230072866234,0.653620620485967,0.486187633235852,0.241020984193212,0.358601593400839,0,0.103093873323885,0,0.621442516230759,0.795910372852555,2.13975477750599
dox2.2,0.298114955293413,0.555232080914229,0.524574930966041,0.28165151758961,0.325704419715636,0,0.145865958610131,0,0.624512288199731,0.795664179938613,2.13114386308906
dox2.1,0.383086663233605,0.503276236938429,0.406011394265903,0.299383594441676,0.307200173690399,0,0.185980612016341,0,0.565543069816423,0.829506938092085,2.08493867458635
cx.ib6.3,0.276652286686797,0.497007712477607,0.72503009037309,0.0830328256034147,0.373684607366984,0,0.0874854888964026,0,0.566373594815434,0.827342732837545,2.0428930114043
cx.ib6.2,0.28998838057299,0.580667867043459,0.721242734194825,0.0321008403076149,0.398831689695434,0,0.0431760076124338,0,0.534666230651959,0.84575467132387,2.06600751942676
cx.ib6.1,0.406101569313452,0.696400142559202,0.621598770704857,0.030346881280628,0.29803054265941,0,0.0510539252700196,0,0.606324812860567,0.807739052813025,2.10353183178757
cx6.3,0.207346733313527,0.509770431312993,0.682639629211969,0.163956184143361,0.377146199768224,0,0.15150514974606,0,0.580000259678484,0.819153823358454,2.09236432749613
cx6.2,0.195155785561775,0.468377705039093,0.658685488551172,0.250899090544728,0.405867604468236,0,0.106033502648472,0,0.555537569357671,0.833107030636995,2.08501917681348
cx6.1,0.391841618860994,0.67034347379595,0.549543954357443,0.152595691888944,0.308767481983026,0,0.0219070460575333,0,0.599492085746124,0.811515699892983,2.09499926694389
v6.3,0.167399638582498,0.47428746680625,0.668889120850574,0.297464656121458,0.362903237774992,0,0.137974148086818,0,0.5814684515523,0.819301030921827,2.10891826822259
v6.2,0.215453478160194,0.467805818131406,0.678643727793812,0.260318176681541,0.378533523779313,0,0.112466816920409,0,0.541617101144813,0.842116541079814,2.11322154146667
v6.1,0.420553439872026,0.680912336640176,0.461254734354909,0.253444212053245,0.295577338821356,0,0.0287020288108102,0,0.56991169471167,0.828922178581884,2.14044409055252
