Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
DMSO-48h-1,4.217303888,7.391665031,5.70213112,0,0.439075996,0,2.80739322,0,0.835802766,0.705859645,20.55756926
DMSO-48h-2,4.077152098,9.315607636,7.571172466,0,0.087735664,0.072363281,2.89131902,0,0.797544025,0.728102514,24.01535017
DMSO-48h-3,4.804660146,8.846155889,6.515974946,0,1.085426118,0,2.82359204,0,0.781821839,0.730192386,24.07580914
Dex-48h-1,6.458770884,8.589620926,6.452418274,0,0.498478229,0,2.664692784,0,0.789606845,0.729523291,24.6639811
Dex-48h-2,4.738004411,6.295611764,4.475442541,0,0.294595412,0,2.050192125,0,0.820414261,0.713308113,17.85384625
Dex-48h-3,6.364794557,8.730827802,6.727234862,0,0.89510069,0,2.990295376,0,0.768102334,0.739052534,25.70825329
Quiz-48h-1,5.847244179,0.378706748,10.83865103,0,0.301122105,0.021151388,11.07462441,0,0.790896268,0.732282359,28.46149986
Quiz-48h-2,5.486705668,0.732981407,10.74204468,0,0.592953669,0,10.2515739,0,0.780396203,0.735906613,27.80625932
Quiz-48h-3,5.61656667,0.603202722,7.567730046,2.106341939,1.329522355,0.856942384,9.676159732,0,0.727333745,0.746364574,27.75646585
Quiz + Dex- 48h-1,4.303343924,1.621500242,11.44092701,0,0.955542536,0,8.295206685,0,0.804870583,0.719900854,26.61652039
Quiz + Dex- 48h-2,4.303281327,1.411277931,13.05845254,0,0.760798192,0,8.652729496,0,0.789222434,0.730812304,28.18653948
Quiz + Dex- 48h-3,2.046471752,0.807649305,7.137989963,0,0.660468204,0,3.444606645,0,0.812309832,0.712769479,14.09718587
