Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
Combolow_rep1,1.218527774,3.152419183,3.169789682,0.629247368,0.134999929,0,3.645033902,0,0.640322476,0.886677961,11.95001784
Combolow_rep2,2.009885511,3.64110107,3.082915687,0.391623226,0,0,3.227636021,0,0.679943844,0.877802744,12.35316152
Combolow_rep3,4.492000682,3.065932087,0.418711702,1.252115168,0.418820218,0,3.281870369,0,0.6596698,0.85143393,12.92945023
Combohigh_rep1,4.272706283,2.531522867,1.171339503,0.87382401,0.263861945,0,3.635955325,0,0.634275934,0.863726675,12.74920993
Combohigh_rep2,1.784794422,4.665860047,1.766747071,0.24080528,0.166936856,0,3.41533555,0,0.695651405,0.865600459,12.04047923
Combohigh_rep3,4.719962068,2.430817272,0.490850853,1.084071499,0.146562115,0.349600311,3.634872228,0,0.698051082,0.828167732,12.85673635
EZH2_rep1,4.753297789,2.611980873,0.083164231,1.295127547,0.166348238,0,4.172379721,0,0.676753938,0.849040906,13.0822984
EZH2_rep2,4.030438195,2.988159656,0.297918797,1.016239083,0.60776833,0,3.51109939,0,0.592455764,0.866926536,12.45162345
EZH2_rep3,1.219209772,3.743394014,3.582028588,0,0.079757408,0,3.450524224,0,0.64387891,0.887450194,12.07491401
DOT1Llow_rep1,1.963255517,3.652465452,1.018011015,1.741215828,0.149114807,0,4.20475804,0,0.677747379,0.871141002,12.72882066
DOT1Llow_rep2,3.468334424,3.005820222,0.857456121,1.618236992,0.263002986,0,4.028589361,0,0.689750491,0.85567571,13.24144011
DOT1Llow_rep3,4.27748142,2.69859835,0.185114961,1.404539452,0.386464261,0.269047096,4.096021952,0,0.695100424,0.829379628,13.31726749
DOT1Lhigh_rep1,4.337601095,2.775114532,0.961741571,0.719458829,0.287804548,0,4.457110157,0,0.69498694,0.844884691,13.53883073
DOT1Lhigh_rep2,4.176977999,2.891829336,0.312695431,1.656922862,0.68005991,0,3.427121923,0,0.646555548,0.85099269,13.14560746
NC_rep1,4.472282052,2.297544311,0.761483029,1.031789229,0.354464168,0.322738035,4.188594229,0,0.717289409,0.819021211,13.42889505
NC_rep2,4.271175583,2.173564228,0.489243193,1.485495293,0.311993485,0.460246005,4.443279172,0,0.722107276,0.813592628,13.63499696
NC_rep3,2.683051462,2.625222349,0.809115515,2.200923414,0.605233328,0,3.948002223,0,0.632796263,0.865253537,12.87154829
