Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
MV411_Naive_DMSO_8h_R1,4.196127157,3.177974402,1.806089482,1.175225618,0.121862693,0,3.538240092,0,0.595140273,0.854392316,14.01551944
MV411_Naive_DMSO_8h_R2,4.369628873,3.291774841,2.362654457,0.793246004,0.202711071,0,3.531493526,0,0.581080479,0.858143676,14.55150877
MV411_Naive_DMSO_8h_R3,5.379322165,2.389525837,0.78688827,1.587444673,0.489773634,0,3.91199207,0,0.542955666,0.864339523,14.54494665
MV411_Naive_Entospletinib_8h_R1,5.282856556,2.21895239,0.634177718,0.238559516,0.692275852,0,4.869163954,0,0.560360083,0.850077074,13.93598599
MV411_Naive_Entospletinib_8h_R2,4.380713992,2.465756112,1.804055839,0,0.577539733,0,4.527089656,0,0.63805818,0.823115875,13.75515533
MV411_Naive_Entospletinib_8h_R3,4.507120707,2.409211293,1.175245933,0,0.610145942,0,5.110451479,0,0.592649003,0.839224596,13.81217535
MV411_Naive_DMSO_24h_R1,6.402695027,1.368075348,0.523481143,2.445473546,0.829152395,0,3.125976455,0,0.546020696,0.858641883,14.69485391
MV411_Naive_DMSO_24h_R2,6.605388242,2.075212959,1.315256744,0.430456461,0.59342838,0,3.068810232,0,0.624863491,0.823993016,14.08855302
MV411_Naive_DMSO_24h_R3,6.346266283,2.003929097,1.196828124,1.06658404,0.604083869,0,2.998366583,0,0.601444053,0.836378658,14.216058
MV411_Naive_Entospletinib_24h_R1,5.988490792,1.775186773,0.993079953,1.680074168,0.866153701,0,3.320960908,0,0.568571582,0.848495889,14.62394629
MV411_Naive_Entospletinib_24h_R2,6.40020659,2.154460684,1.277505181,0.493047991,1.065955701,0,3.180764424,0,0.577528555,0.838768136,14.57194057
MV411_Naive_Entospletinib_24h_R3,5.585734687,2.569287231,1.168557468,0.681025656,0.793148063,0,3.501326921,0,0.598839095,0.834656479,14.29908003
