Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
GSM3617841_F36P_CTR_1.txt,0.033528957,9.411049591,6.462189381,8.449401168,0.218337545,0.027171427,5.12151086,0,0.613914042,0.946716208,29.72318893
GSM3617842_F36P_CTR_2.txt,0.031517385,9.796754136,6.112306098,7.52598445,0.232115899,0.025363246,4.875006958,0,0.615564351,0.94553872,28.59904817
GSM3617843_F36P_CTR_3.txt,0.028110478,10.35248695,7.326280008,5.386675385,0.244223114,0.031312018,4.564931344,0,0.634096082,0.942609264,27.9340193
GSM3617844_F36P_VP16_1.txt,0.021165812,9.164965292,6.842656511,4.271856996,0.513494481,0.04965322,7.127193991,0,0.629161657,0.943253957,27.9909863
GSM3617845_F36P_VP16_2.txt,0.024256561,8.661321134,6.611208593,4.933827365,0.45550677,0.034473091,7.668147659,0,0.61263833,0.945860056,28.38874117
GSM3617846_F36P_VP16_3.txt,0.037872665,8.710888247,8.491666614,5.33739936,0.520260727,0.045542956,8.767886502,0,0.613637908,0.946791449,31.91151707
GSM3617847_HL60_CTR_1.txt,22.07095552,0.691656342,2.808592305,0,0.016886883,0.270993065,4.856883289,0,0.976417069,0.46207314,30.7159674
GSM3617848_HL60_CTR_2.txt,21.6824551,0.158840202,3.581983674,0,0.020102143,0.193654166,5.086862228,0,0.974129052,0.473979359,30.72389751
GSM3617849_HL60_CTR_3.txt,22.72482654,0.060863259,2.799833103,0,0.013851237,0.252747419,5.022401695,0,0.973226737,0.454465772,30.87452325
GSM3617850_HL60_VP16_1.txt,11.13610192,6.924304251,5.231564337,0,0.020354845,0.201606183,5.792406478,0,0.885407318,0.738678714,29.30633801
GSM3617851_HL60_VP16_2.txt,15.31309474,4.976499979,3.851787307,0,0.022525367,0.265120945,7.005367571,0,0.921742922,0.657060363,31.43439591
GSM3617852_HL60_VP16_3.txt,10.02124967,9.247262221,4.570902373,0,0.019675523,0.22468427,7.452616469,0,0.788679277,0.806319418,31.53639052
GSM3617853_Kasumi1_CTR_1.txt,32.2998874,0,3.733075327,0.047285461,0.082836175,0.023678759,3.631693582,0,0.987210797,0.382587984,39.8184567
GSM3617854_Kasumi1_CTR_2.txt,32.9314777,0,3.077863341,0.373597636,0.094964313,0.01894292,4.115622165,0,0.987244137,0.382738019,40.61246808
GSM3617855_Kasumi1_CTR_3.txt,33.61927637,0,4.286563975,0,0.051281083,0.044948845,3.471339121,0,0.986991684,0.383341728,41.47340939
GSM3617856_Kasumi1_VP16_1.txt,22.21357345,0.57810893,4.861419807,0,0.206268296,0.102343415,4.066853024,0,0.985899274,0.468727611,32.02856692
GSM3617857_Kasumi1_VP16_2.txt,22.22552207,0,4.561679218,0,0.242807899,0.087223438,4.665040218,0,0.98514676,0.465664445,31.78227284
GSM3617858_Kasumi1_VP16_3.txt,22.86594977,0.732586391,4.29564689,0,0.216082053,0.096136961,4.530945591,0,0.986129573,0.464824788,32.73734765
GSM3617859_MOLM13_CTR_1.txt,1.054423816,8.768636931,3.199688474,4.989587094,1.508014503,1.299456537,7.802183187,0,0.685850621,0.888718809,28.62199054
GSM3617860_MOLM13_CTR_2.txt,0.988393612,8.585560689,3.33327015,4.924623391,1.117348691,1.23504381,8.458305384,0,0.690028603,0.896693848,28.64254573
GSM3617861_MOLM13_CTR_3.txt,0.871004759,8.59928361,3.538392514,5.022555244,0.03945836,1.410774665,9.074798746,0,0.684063698,0.906370707,28.5562679
GSM3617862_MOLM13_VP16_1.txt,0.493984207,3.555481501,4.612630797,4.479084178,3.260062223,1.828012099,7.95141394,0,0.880770533,0.761428533,26.18066894
GSM3617863_MOLM13_VP16_2.txt,0.174277418,3.474280156,4.004254297,6.024161516,3.439174069,1.966781728,8.486238462,0,0.835532124,0.776069328,27.56916765
GSM3617864_MOLM13_VP16_3.txt,0.179281259,3.604613708,3.824604994,5.558947132,3.19576715,1.974826324,7.867097957,0,0.831814192,0.773605708,26.20513852
GSM3617865_MONOMAC6_CTR_1.txt,0.306199419,11.65193924,8.089727941,4.67776711,5.184848463,3.255923892,5.984438197,0,0.684406646,0.814905302,39.15084426
GSM3617866_MONOMAC6_CTR_2.txt,0.844514555,10.56150005,7.829737824,5.507985743,4.498993697,2.927705097,7.742794893,0,0.648394855,0.845183587,39.91323186
GSM3617867_MONOMAC6_CTR_3.txt,0.581819995,11.31503487,7.946604204,5.00106253,5.170874525,2.868600345,6.888875164,0,0.640320505,0.841909215,39.77287164
GSM3617868_MONOMAC6_VP16_1.txt,0.101978134,14.12223379,8.361144209,0,8.428800138,0.621279484,7.793707725,0,0.737854715,0.817117145,39.42914348
GSM3617869_MONOMAC6_VP16_2.txt,0.100764179,14.11004262,8.243057312,0,8.743436159,0.456171956,8.545367125,0,0.694057666,0.833540437,40.19883935
GSM3617870_MONOMAC6_VP16_3.txt,0.096182905,14.55332287,8.315817115,0,8.939918476,0.430342962,8.022633204,0,0.719050747,0.8236009,40.35821753
GSM3617871_MV411_CTR_1.txt,0.730423932,13.25560533,4.018250636,0.345858033,0.057477726,0.365787137,10.00054693,0,0.72565164,0.921074599,28.77394972
GSM3617872_MV411_CTR_2.txt,0.739352157,12.93310482,3.82043399,1.204516422,0.039562205,0.377646793,10.30889385,0,0.712900081,0.923806706,29.42351023
GSM3617873_MV411_CTR_3.txt,0.770173342,13.31824506,3.629696222,1.602736425,0.012968903,0.322297096,9.622346785,0,0.711894849,0.924108459,29.27846384
GSM3617874_MV411_VP16_1.txt,0.08108907,11.53746843,4.923998133,0,1.115175559,0.536606586,10.58287927,0,0.757643494,0.907355671,28.77721704
GSM3617875_MV411_VP16_2.txt,0.088065491,12.28961111,4.586020439,0,1.12496518,0.551210514,11.60765683,0,0.735529228,0.910721074,30.24752957
GSM3617876_MV411_VP16_3.txt,0.097690205,12.29960574,4.720802355,0,0.670766107,0.534099886,11.92932244,0,0.740390386,0.915463129,30.25228674
GSM3617877_NB4_CTR_1.txt,29.89159473,0,3.18266336,0,0.114339254,0.391187499,6.213049719,0,0.98550789,0.427511947,39.79283456
GSM3617878_NB4_CTR_2.txt,31.57713997,0,2.772473253,0.294882608,0.087272787,0.533184749,7.585258469,0,0.984385074,0.438958634,42.85021183
GSM3617879_NB4_CTR_3.txt,26.76973557,0,3.810360906,0,0.106222559,0.304858011,6.511626899,0,0.985357869,0.454664236,37.50280395
