Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
CM3605307,1.51142441724132,1.1895809682069,0,0.582268020371548,0.330169856181089,0,0.988859091873124,0,0.945129520086043,0.399507589884504,4.60230235387398
CM3605308,1.45307030520716,0.617878688143463,0,0.898149371031006,0.435047374439084,0,1.07314681527641,0,0.935568347642986,0.422602721829144,4.47729255409712
CM3605309,1.75740856024025,0.96150611347009,0,0.430135625582613,0.400373361186625,0,0.948962033961566,0,0.952197089965209,0.336705432285716,4.49838569444115
CM3605310,2.16001605345787,0.405180203628359,0.00155313850618767,0.243455727270875,0.418083724731388,0,1.17342303310694,0,0.953403646499036,0.301899030422148,4.40171188070162
CM3605311,2.04384368296423,0.795754027657494,0,0.310695602473231,0.418252283826681,0,1.012870873224,0,0.959397682287771,0.289567269983239,4.58141647014564
CM3605312,1.86707297650726,0.685891676765282,0.115891107578299,0.157419262036249,0.3966392262493,0,1.19656002844508,0,0.948080488930646,0.332506194193513,4.41947427758147
CM3605313,1.96793754896167,0.846936747513665,0,0.398706863398318,0.427661309908442,0,0.994660057578676,0,0.957717698478968,0.303277069620206,4.63590252736078
CM3605314,2.21149793374931,0.460215180824131,0.155650411082703,0.0390048874429062,0.457807775328529,0,1.16946660184583,0,0.954102557407192,0.299932561476126,4.49364279027342
CM3605323,0.893095560801689,1.68219101963769,0.00958985451760521,0.891097532124455,0.0650496496138712,0,0.905596796366234,0,0.927257786267267,0.54385061156139,4.44662041306155
CM3605324,0.733268892304559,1.63714845145273,0.177877364594095,0.763477494356771,0.30690286663699,0,0.854690896965625,0,0.910577441286657,0.596536900806508,4.47336596631077
CP3605025,0.925344737924761,1.52453964604335,0,1.18463020661553,0.278788879283538,0,0.725759628084124,0,0.918137026041777,0.552052642949041,4.6390630979513
CP3605026,0.773385561096672,1.4878622346433,0.109752052421185,0.962264012468081,0.360091563035873,0,0.897110387401095,0,0.911155229853283,0.593459376236177,4.59046581106621
CP3605027,1.1144435216884,1.3882315466337,0.00506447464310223,1.19482579791684,0.197316616519238,0,0.844714847019505,0,0.930853171239841,0.50540393114475,4.74459680442078
CP3605028,1.08440162872534,1.15097006505673,0.181559783781715,0.976683938778205,0.421830238560763,0,0.884704518152481,0,0.93037789406556,0.511563479849856,4.70015017305523
CP3605029,1.09579674855988,1.34549850141213,0.096996987901918,0.963281070032704,0.234555522476791,0,0.844270247388814,0,0.938035509415671,0.492919809890953,4.58039907777224
CP3605030,0.908497773762827,1.2327590981717,0.209497648901849,0.894244012086081,0.404748823584294,0,0.94965172318855,0,0.928293162766708,0.549885049863554,4.5993990796953
SL58776,1.92074490277656,1.06457152735996,0.13134053940196,0.285989214617834,0.278108132357824,0,0.53003757567038,0,0.96475072266888,0.266339953037634,4.21079189218452
SL58777,1.99817329162027,0.692196874238734,0.242930925466712,0.231893036997369,0.382572499196239,0,0.573096671440886,0,0.966954865360214,0.255715266365993,4.12086329896021
SL58778,1.78393656639335,1.10643737680654,0.259946301626322,0.09218353572976,0.296836941185864,0,0.518932590893115,0,0.963387754281928,0.275440404408434,4.05827331263495
SL58779,1.94254604204838,0.73152653968716,0.0825569019867925,0.291399688118047,0.42961153515563,0,0.503804863958777,0,0.965783121014079,0.260197787010417,3.98144557095479
SL58780,2.78562002537687,0.28380393059558,0,0.19815980658691,0.341391845493662,0,0.761233495146982,0,0.980569036392333,0.297426137849064,4.3702091032
SL58781,2.70347769785056,0,0,0,0.60278578429967,0,0.908581946578658,0,0.974134885788375,0.321917162848134,4.21484542872889
SL58782,2.59980804840514,0.341229108834415,0,0,0.389943187950682,0,0.774202778594458,0,0.978260608658853,0.300263466204572,4.1051831237847
SL58783,2.88941931160055,0,0,0.311470024155894,0.450994185269892,0,0.667643358939828,0,0.980643748800973,0.337575488284617,4.31952687996616
SL58784,2.71011393830341,0.216941399432233,0,0,0.428084078316222,0,0.88317741854932,0,0.978728254926489,0.302890203975747,4.23831683460119
SL58785,2.62077521561862,0,0,0.317033128292536,0.450599264245132,0,0.882974972762139,0,0.97622448987756,0.284001089987287,4.27138258091843
SL58786,2.77378392161045,0.139544304608607,0,0.189414170886801,0.384267487543756,0,0.763257248435002,0,0.980408665014376,0.315314063265962,4.25026713308461
SL58787,2.50091214108428,0,0,0.39844786712319,0.455871510243371,0,0.819883313914498,0,0.974207441322303,0.278895312773761,4.17511483236534
SL58796,1.47256838813145,1.25293538935042,0.183921863270188,0.461126754238441,0.317568066574956,0,0.51963599306065,0,0.953907294014027,0.354511592773567,4.20775645462611
SL58797,0.903358214094079,1.04051543853257,0.213008344798733,0.734874985455486,0.346940084964955,0,0.748254718772576,0,0.921540872466338,0.524752660390772,3.9869517866184
SL58798,1.45733091349458,1.10267276469256,0.160911162637642,0.418931397890128,0.297074669950481,0,0.555573090606437,0,0.956193557454445,0.339046709678473,3.99249399927183
SL58799,0.724607878761159,1.08535073927738,0.451993001890174,0.496331748248233,0.352400142250189,0,0.714486489147556,0,0.913167550174617,0.567511536015632,3.82516999957469
