Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
DMSO_Rep1,0.119460764,2.110063769,2.32671776,0,0.9236758,0,2.175384996,0,0.686927426,0.761963073,7.655303089
DMSO_Rep2,0.167978985,3.665245958,3.779763822,0,1.145257636,0,4.169127861,0,0.624474994,0.814977035,12.92737426
RAD001-OG86_Rep1,0.247409883,3.467506603,4.959367917,1.665780055,6.737248737,0,3.994169212,0,0.852673725,0.522446104,21.07148241
RAD001-OG86_Rep2,0.734740715,5.275807603,6.182363987,0,6.878373927,0,2.886451083,0,0.811369364,0.58591592,21.95773732
OG86_rep1,0.562352164,4.222521921,7.168631953,0,6.670299522,0,4.710248443,0,0.823410204,0.56763734,23.334054
OG86_rep2,0.920376135,4.351312216,6.607658043,0,7.477733517,0,3.374030808,0,0.889362812,0.45729647,22.73111072
RAD001_rep1,0.955218062,6.284200616,4.611924396,0.414340428,7.354524647,0,3.214671918,0,0.883792527,0.469000337,22.83488007
RAD001_rep2,0.240681122,3.763069978,5.097733948,0,2.905899971,0,4.436728587,0,0.838848055,0.603584796,16.44411361
DMSO_1,12.90851223,13.72783489,3.283647159,0,9.129756327,0,4.448774585,0,0.862419732,0.564860262,43.49852519
DMSO_2,12.55831332,13.42816625,3.145789775,0,9.075360478,0,4.186872329,0,0.861624158,0.562198777,42.39450215
DMSO_3,13.6898456,13.24742581,2.711390002,0,10.01649552,0,3.969402917,0,0.860045351,0.551014496,43.63455985
OG86_1,10.08535626,14.69959876,3.629788657,0,13.01519653,0,4.215235311,0,0.92596195,0.411965683,45.64517551
OG86_2,11.13855463,14.46456083,3.177913354,0,14.32138968,0,3.986939746,0,0.92466791,0.40045391,47.08935824
OG86_3,11.05884609,13.74805851,3.359884738,0,12.31383538,0,4.453425837,0,0.921070013,0.429044407,44.93405056
RAD001_1,10.56873076,11.28262071,3.914737875,0,9.32971282,0,4.239991925,0,0.900748965,0.490889224,39.33579409
RAD001_2,10.17489978,10.89146896,3.687121233,0,8.745737404,0,4.11671605,0,0.899246044,0.497586053,37.61594343
RAD001_3,11.35991111,9.90959879,2.700688414,0,8.282963665,0,6.348426676,0,0.890656229,0.524840847,38.60158866
RAD001-OG86_1,6.795998818,8.665255487,3.864786153,0,11.08746929,0,8.856690275,0,0.926364267,0.407139807,39.27020003
RAD001-OG86_2,6.263813916,8.969748435,4.210701284,0,10.41393841,0,8.901481286,0,0.919350269,0.430970692,38.75968333
RAD001-OG86_3,6.033026286,8.919109163,4.894150328,0,9.355363029,0,9.27727354,0,0.913825795,0.462092633,38.47892235
