Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
IMSM2_RNA_DMSO_d3_REP1_181112_CAGATC,2.604023922,11.09331619,6.390848156,3.022890945,1.244094996,0,5.023762617,0,0.762337611,0.707283586,29.37893682
IMSM2_RNA_DMSO_d3_REP2_181112_ACTTGA,1.868260687,9.788873822,4.307187635,7.322633998,1.003846094,0,5.218723038,0,0.759744651,0.717420722,29.50952528
IMSM2_RNA_DMSO_d3_REP3_181112_GATCAG,2.468168369,11.14660712,6.943889051,2.240043211,1.172018677,0,5.307869416,0,0.763090568,0.706364867,29.27859584
IMSM2_RNA_DMSO_d5_REP1_181112_GTGGCC,2.826998399,9.753019378,3.133017784,8.053515175,1.297585605,0,5.4464613,0,0.768467589,0.710879461,30.51059764
IMSM2_RNA_DMSO_d5_REP2_181112_GTTTCG,2.189589376,10.7321061,6.882738905,3.945757833,1.385002576,0,5.444012788,0,0.769048126,0.706594906,30.57920758
IMSM2_RNA_DMSO_d5_REP3_181112_CGTACG,1.964799832,10.70938919,7.33157229,4.294628292,1.446307686,0,5.209814587,0,0.773156128,0.704837437,30.95651188
IMSM2_RNA_VTP_330nM_d3_REP1_181112_TAGCTT,2.973906423,10.24133068,7.162799439,1.817460178,1.435852001,0,6.058247114,0,0.753866849,0.713869094,29.68959584
IMSM2_RNA_VTP_330nM_d3_REP2_181112_GGCTAC,2.917285434,10.27539433,6.482213431,2.456792414,1.402359714,0,6.078602067,0,0.750569248,0.716455323,29.61264739
IMSM2_RNA_VTP_330nM_d3_REP3_181112_CTTGTA,3.200282314,10.1649086,6.823932508,1.904214787,1.413509195,0,6.294124137,0,0.75138898,0.715407798,29.80097154
IMSM2_RNA_VTP_330nM_d5_REP1_181112_GAGTGG,2.611468078,8.544340312,6.623524768,4.821352729,1.784131505,0,6.599369804,0,0.752262029,0.722335758,30.9841872
IMSM2_RNA_VTP_330nM_d5_REP2_181112_ACTGAT,2.796396561,8.625641819,7.798974178,3.37828309,1.959767714,0,6.309263155,0,0.747396433,0.723314612,30.86832652
IMSM2_RNA_VTP_330nM_d5_REP3_181112_ATTCCT,2.930155079,8.706025309,7.858151666,3.165400689,1.973974247,0,6.130259037,0,0.750256433,0.720804539,30.76396603
IMSM2_RNA_DMSO_d7_REP1_181121_CAGATC,2.532672068,7.895145771,9.76727838,2.166617147,0.840405094,0,5.631172894,0,0.786039592,0.698824925,28.83329135
IMSM2_RNA_DMSO_d7_REP2_181121_ACTTGA,2.535031395,8.013704167,9.652890896,1.895078308,0.773169762,0,6.052632672,0,0.785537534,0.698964129,28.9225072
IMSM2_RNA_DMSO_d7_REP3_181121_GATCAG,1.433622202,6.742613988,9.16795234,6.248380908,0.89435182,0,6.411758988,0,0.776290901,0.714356655,30.89868025
IMSM2_RNA_VTP_330nM_d7_REP1_181121_TAGCTT,2.15626833,5.54903227,7.016025914,6.568640321,0.966504412,0,7.999306,0,0.747657618,0.734192218,30.25577725
IMSM2_RNA_VTP_330nM_d7_REP2_181121_GGCTAC,2.615847585,5.499372588,8.689851214,4.162831252,1.133676625,0,8.092364993,0,0.737279696,0.737190232,30.19394426
IMSM2_RNA_VTP_330nM_d7_REP3_181121_CTTGTA,2.661777127,5.260736689,8.517197326,4.874703121,1.129781275,0,8.133197682,0,0.738359003,0.737613117,30.57739322
OCIAML3_RNA_DMSO_d3_REP1_181112_ATCACG,4.490439402,6.602350442,0.050343068,5.925185733,0.921624186,1.83310455,8.632071968,0,0.695579322,0.745657773,28.45511935
OCIAML3_RNA_DMSO_d3_REP2_181112_CGATGT,4.372032424,6.562732045,0,5.95973217,0.852181442,1.939213755,8.762284606,0,0.689280276,0.74963227,28.44817644
OCIAML3_RNA_DMSO_d3_REP3_181112_TTAGGC,4.38173073,5.879555507,0,6.418626416,0.592310382,2.277179806,8.529701915,0,0.672810967,0.760302505,28.07910475
OCIAML3_RNA_DMSO_d5_REP1_181112_AGTCAA,4.090243561,7.805198027,1.90565489,3.314056372,1.177832059,1.46732207,9.419221788,0,0.705770583,0.738717446,29.17952877
OCIAML3_RNA_DMSO_d5_REP2_181112_AGTTCC,4.279873622,7.947458949,2.509110333,2.998261352,1.40633681,0.885229554,9.621657293,0,0.721627094,0.730781405,29.64792791
OCIAML3_RNA_DMSO_d5_REP3_181112_ATGTCA,4.182878713,7.783449129,3.244558177,2.788268749,1.513414871,0.707185162,9.95608615,0,0.727564583,0.728782895,30.17584095
OCIAML3_RNA_VTP_330nM_d3_REP1_181112_TGACCA,3.442006742,6.079153446,1.096634823,5.139893962,0.880842723,1.576009201,10.00563919,0,0.703134206,0.744463848,28.22018008
OCIAML3_RNA_VTP_330nM_d3_REP2_181112_ACAGTG,3.383919416,6.040400237,1.02888609,5.444482222,1.026616655,1.594439197,9.827750383,0,0.696895538,0.748503257,28.3464942
OCIAML3_RNA_VTP_330nM_d3_REP3_181112_GCCAAT,3.341346342,6.157542415,0.710083867,6.167454809,0.89734931,1.413236102,10.01891268,0,0.702695282,0.746953099,28.70592552
OCIAML3_RNA_VTP_330nM_d5_REP1_181112_CCGTCC,3.173809813,6.998327776,2.469200267,3.090428213,2.108913743,0.863726145,10.18416863,0,0.714315708,0.73543253,28.88857458
OCIAML3_RNA_VTP_330nM_d5_REP2_181112_GTCCGC,3.007011779,6.847651221,2.793358757,3.368579708,2.228880766,0.862731458,10.2302617,0,0.707631895,0.740757449,29.33847539
OCIAML3_RNA_VTP_330nM_d5_REP3_181112_GTGAAA,3.048664241,7.098908746,2.786850104,3.314567351,2.453650091,0.676484279,10.16482731,0,0.71412401,0.736408801,29.54395212
OCIAML3_RNA_DMSO_d7_REP1_181121_ATCACG,4.474473748,3.2113652,1.544946293,7.367234203,1.573302006,1.131668334,9.722718523,0,0.653346485,0.780343918,29.02570831
OCIAML3_RNA_DMSO_d7_REP2_181121_CGATGT,4.43946026,3.274104067,2.313132682,6.8180003,1.678195435,0.882454231,9.557833474,0,0.660903844,0.776774587,28.96318045
OCIAML3_RNA_DMSO_d7_REP3_181121_TTAGGC,4.499919514,3.369333265,2.134362528,6.710002865,1.651523026,1.08894587,9.138912235,0,0.661680836,0.774883861,28.5929993
OCIAML3_RNA_VTP_330nM_d7_REP1_181121_TGACCA,4.208937257,2.647417373,0.00826261,6.065995069,2.645268196,2.276277126,8.73738493,0,0.622030498,0.788215409,26.58954256
OCIAML3_RNA_VTP_330nM_d7_REP2_181121_ACAGTG,4.645213788,3.266214458,0,5.445876585,3.008588272,1.859741698,8.163620569,0,0.64667285,0.770960115,26.38925537
OCIAML3_RNA_VTP_330nM_d7_REP3_181121_GCCAAT,4.702103087,3.773568387,0,4.71904802,3.370544662,1.67015895,8.07616981,0,0.650519444,0.766980027,26.31159292
