Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
DMSO_1,12.3686447308509,11.3007758187237,2.12364833877222,0.86689913499785,1.01710509843778,0,9.6886430449323,0,0.590206459761271,0.830977846005489,37.3657161667147
DMSO_2,13.134747499862,10.7677540839811,1.69894736980192,3.1792713283674,0.814577135757012,0,9.58906150853376,0,0.578704712654026,0.836755304111777,39.1843589263032
DMSO_3,11.3145918239535,10.8904217377482,4.32191819334188,0,1.48225749140064,0,8.80594175730969,0,0.59667297798308,0.829263464782767,36.815131003754
BSJ_CDK6_only_1,10.9823023685755,4.07708237379939,6.8587387620822,3.63298954529871,0.361320295080455,0,10.2252083174277,0,0.626468574095374,0.819969773459641,36.137641662264
BSJ_CDK6_only_2,11.768099503466,4.36723846422613,6.90653196913435,3.51041337534879,0.722498812270921,0,9.65616257175238,0,0.613899921437617,0.823315882040172,36.9309446961986
BSJ_CDK6_only_3,10.6628866971377,4.72916628278621,7.46819821659039,3.06390260936484,0.955244251489765,0,9.33387732945147,0,0.611479808923385,0.825429692352537,36.2132753868204
YKL_CDK6_IKZF_1,11.5051874035259,6.73210585253402,5.06616047855388,2.93927942791939,0.910088505589957,0,10.3628836977747,0,0.619205277007312,0.819133138263222,37.5157053658978
YKL_CDK6_IKZF_2,11.8921898589042,6.11235624478426,4.86170177967453,2.51628446676696,1.11671002932013,0,10.204232436909,0,0.612095467121831,0.819711885438002,36.7034748163591
YKL_CDK6_IKZF_3,12.4660233535809,5.72521670113784,5.55487256278467,1.96204937333824,1.26659331193642,0,9.90427428221159,0,0.605682886585394,0.822080306797596,36.8790295849897
Palbo_1,10.7167303038844,3.67346654644914,7.1615072921706,3.83494739178617,0.540063107135483,0,10.327240000881,0,0.6234814276454,0.820509645722498,36.2539546423067
Palbo_2,10.6505962845277,3.78593008358287,6.97460595830073,3.89322321772257,0.609495955847405,0,9.63528923524605,0,0.624412952883473,0.819870799284095,35.5491407352274
Palbo_3,10.2742600123292,4.10621990650507,7.3964099209842,3.81566581695637,0.46690494155614,0,10.0298955419962,0,0.625575316618179,0.821675611549725,36.0893561403272
