,names,scores,logfoldchanges,pvals,Cohort,Drug,Target,Test,CellType,logPval_dir,Treatment
0,PC2,1.963961,,0.049534613435626706,MOLM13,Brequinar,DHODH,wilcox,PC2,3.005083592450989,Brequinar [MOLM13]
1,ProMono-like,1.963961,1.5018923,0.049534613435626706,MOLM13,Brequinar,DHODH,wilcox,ProMono-like,3.005083592450989,Brequinar [MOLM13]
2,Mono-like,1.963961,4.1095963,0.049534613435626706,MOLM13,Brequinar,DHODH,wilcox,Mono-like,3.005083592450989,Brequinar [MOLM13]
3,LSPC-Cycle,1.963961,0.35534984,0.049534613435626706,MOLM13,Brequinar,DHODH,wilcox,LSPC-Cycle,3.005083592450989,Brequinar [MOLM13]
4,cDC-like,-0.2182179,-0.005101336,0.8272593465627113,MOLM13,Brequinar,DHODH,wilcox,cDC-like,-0.1896370338910093,Brequinar [MOLM13]
5,LSPC-Quiescent,-1.963961,-1.3770114,0.049534613435626706,MOLM13,Brequinar,DHODH,wilcox,LSPC-Quiescent,-3.005083592450989,Brequinar [MOLM13]
6,LSPC-Primed,-1.963961,-2.5103428,0.049534613435626706,MOLM13,Brequinar,DHODH,wilcox,LSPC-Primed,-3.005083592450989,Brequinar [MOLM13]
7,GMP-like,-1.963961,-2.5908217,0.049534613435626706,MOLM13,Brequinar,DHODH,wilcox,GMP-like,-3.005083592450989,Brequinar [MOLM13]
0,PC2,1.963961,,0.049534613435626706,MOLM13,BAY155,Menin-MLL,wilcox,PC2,3.005083592450989,BAY155 [MOLM13]
1,cDC-like,1.963961,0.59266996,0.049534613435626706,MOLM13,BAY155,Menin-MLL,wilcox,cDC-like,3.005083592450989,BAY155 [MOLM13]
2,ProMono-like,1.963961,2.260903,0.049534613435626706,MOLM13,BAY155,Menin-MLL,wilcox,ProMono-like,3.005083592450989,BAY155 [MOLM13]
3,Mono-like,1.963961,2.4709122,0.049534613435626706,MOLM13,BAY155,Menin-MLL,wilcox,Mono-like,3.005083592450989,BAY155 [MOLM13]
4,LSPC-Primed,1.5275252,0.28359878,0.12663045794761718,MOLM13,BAY155,Menin-MLL,wilcox,LSPC-Primed,2.0664822141033747,BAY155 [MOLM13]
5,LSPC-Quiescent,0.2182179,0.019002564,0.8272593465627113,MOLM13,BAY155,Menin-MLL,wilcox,LSPC-Quiescent,0.1896370338910093,BAY155 [MOLM13]
6,LSPC-Cycle,-1.963961,-1.3650537,0.049534613435626706,MOLM13,BAY155,Menin-MLL,wilcox,LSPC-Cycle,-3.005083592450989,BAY155 [MOLM13]
7,GMP-like,-1.963961,-2.448303,0.049534613435626706,MOLM13,BAY155,Menin-MLL,wilcox,GMP-like,-3.005083592450989,BAY155 [MOLM13]
0,PC2,1.963961,-1.1310383,0.049534613435626706,MOLM13,EPZ5676,DOT1L,wilcox,PC2,3.005083592450989,EPZ5676 [MOLM13]
1,cDC-like,1.963961,0.5899628,0.049534613435626706,MOLM13,EPZ5676,DOT1L,wilcox,cDC-like,3.005083592450989,EPZ5676 [MOLM13]
2,Mono-like,0.65465367,0.6428542,0.5126907602619233,MOLM13,EPZ5676,DOT1L,wilcox,Mono-like,0.6680824220792302,EPZ5676 [MOLM13]
3,ProMono-like,0.0,0.0,1.0,MOLM13,EPZ5676,DOT1L,wilcox,ProMono-like,-0.0,EPZ5676 [MOLM13]
4,GMP-like,-1.0910895,-0.6190171,0.27523352407483426,MOLM13,EPZ5676,DOT1L,wilcox,GMP-like,-1.2901353632096608,EPZ5676 [MOLM13]
5,LSPC-Quiescent,-1.5275252,-0.07577581,0.12663045794761718,MOLM13,EPZ5676,DOT1L,wilcox,LSPC-Quiescent,-2.0664822141033747,EPZ5676 [MOLM13]
6,LSPC-Primed,-1.963961,-0.4242031,0.049534613435626706,MOLM13,EPZ5676,DOT1L,wilcox,LSPC-Primed,-3.005083592450989,EPZ5676 [MOLM13]
7,LSPC-Cycle,-1.963961,-0.33005595,0.049534613435626706,MOLM13,EPZ5676,DOT1L,wilcox,LSPC-Cycle,-3.005083592450989,EPZ5676 [MOLM13]
0,LSPC-Cycle,1.963961,0.35558397,0.049534613435626706,MOLM13,OTX015,BET,wilcox,LSPC-Cycle,3.005083592450989,OTX015 [MOLM13]
1,PC2,0.65465367,-0.36545524,0.5126907602619233,MOLM13,OTX015,BET,wilcox,PC2,0.6680824220792302,OTX015 [MOLM13]
2,ProMono-like,0.65465367,0.25581184,0.5126907602619233,MOLM13,OTX015,BET,wilcox,ProMono-like,0.6680824220792302,OTX015 [MOLM13]
3,LSPC-Primed,0.2182179,0.11612137,0.8272593465627113,MOLM13,OTX015,BET,wilcox,LSPC-Primed,0.1896370338910093,OTX015 [MOLM13]
4,GMP-like,-0.2182179,0.57318014,0.8272593465627113,MOLM13,OTX015,BET,wilcox,GMP-like,-0.1896370338910093,OTX015 [MOLM13]
5,Mono-like,-1.0910895,-1.171118,0.27523352407483426,MOLM13,OTX015,BET,wilcox,Mono-like,-1.2901353632096608,OTX015 [MOLM13]
6,cDC-like,-1.963961,-0.23552719,0.049534613435626706,MOLM13,OTX015,BET,wilcox,cDC-like,-3.005083592450989,OTX015 [MOLM13]
7,LSPC-Quiescent,-1.963961,-0.9335419,0.049534613435626706,MOLM13,OTX015,BET,wilcox,LSPC-Quiescent,-3.005083592450989,OTX015 [MOLM13]
0,ProMono-like,1.963961,0.96375847,0.049534613435626706,MOLM13,BAY1251152,CDK9,wilcox,ProMono-like,3.005083592450989,BAY1251152 [MOLM13]
1,LSPC-Quiescent,1.963961,0.83363765,0.049534613435626706,MOLM13,BAY1251152,CDK9,wilcox,LSPC-Quiescent,3.005083592450989,BAY1251152 [MOLM13]
2,LSPC-Primed,-0.65465367,-0.28930143,0.5126907602619233,MOLM13,BAY1251152,CDK9,wilcox,LSPC-Primed,-0.6680824220792302,BAY1251152 [MOLM13]
