Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
DMSO_1,4.73428269618987,2.35749541060797,6.72606347551674,4.06738579465775,2.02022012452063,0,1.6235009026765,0,0.50068924957872,0.868578826360139,21.5289484041695
DMSO_2,6.76074582837541,1.85703252561399,1.8218101972592,5.76297783615013,1.96519700165892,0,10.5860641630971,0,0.530464700985648,0.86034314643298,28.7538275521548
DMSO_3,7.11628729246398,5.40409935593544,1.15854783690236,8.88642265210894,1.55914206010442,0,9.74825219709966,0,0.564521828446699,0.841186827486629,33.8727513946148
DMSO_4,2.95077322426249,2.81244307008215,3.63961916984651,5.42864757316959,5.83398774968797,0,6.51963410244334,0,0.762556751894727,0.687915687288658,27.185104889492
DMSO_5,4.23394073830195,3.43742632075108,2.69276976185464,3.9602363261329,5.10772433208519,0.506169043984808,6.99158148117285,0,0.77064804356448,0.692276760460205,26.9298480042834
AR-42_1,4.05380413512617,6.23503424428776,3.38739053305228,1.49985571987535,1.08822873134025,0.374476254360428,3.94243297969522,0,0.642095669704369,0.797277661833863,20.5812225977374
AR-42_2,4.92194755964217,2.35611915473862,6.60104134027135,2.57456296187618,2.02263739120372,0,7.25607805768262,0,0.703537098587616,0.776553878020314,25.7323864654147
AR-42_3,2.68953976084556,3.02028003086441,3.78568674363125,6.16174804290354,0.862717216084428,0.47981937231631,7.31560550726952,0,0.692581463493401,0.77619845255889,24.315396673915
AR-42_4,1.72668872497282,2.33398170020732,2.87241962347314,7.22987643704017,2.55848481031297,1.01037038787164,3.99455910411295,0,0.76263500796554,0.713671014595839,21.726380787991
AR-42_5,1.51998498626878,5.68771362788607,2.40202936705588,4.57602663917704,2.54261325932634,0.679788361122485,4.61320229433197,0,0.757161969574541,0.715701380057685,22.0213585351686
KPT-9274_1,2.22733308036833,0.578843969479481,1.98108922169685,7.48728526465694,2.12182787486534,0.29416991788758,1.97208372619645,0,0.683761549151184,0.761169104721989,16.662633055151
KPT-9274_2,6.59765246036802,1.0977823673768,1.62627595843281,6.48528607058259,1.15859447333506,0,11.3101693347509,0,0.521077960478985,0.865669948023974,28.2757606648462
KPT-9274_3,6.72381216802423,3.3849720299203,0.111543911328982,6.97261933436356,1.03093842763428,0.341164134806149,7.16253477794647,0,0.564498575187115,0.843073307864556,25.727584784024
KPT-9274_4,3.15564394497692,2.25831448624176,3.06521588543389,6.66160261196573,6.10009401590784,0,6.43182763748042,0,0.746827287602819,0.697426102121137,27.6726985820066
KPT-9274_5,2.26611560740716,5.28070859006283,3.37886567987365,3.58929337035018,5.74282544523716,1.03227408854017,6.10137506014692,0,0.741456873566891,0.699397383869045,27.3914578416181
AR-42+KPT-9274_1,3.72708052449664,5.29232726010321,2.51673062294068,0.831991716208127,0.757665060899023,0.293448011569059,3.17822190429467,0,0.5876117202607,0.825735450667314,16.5974651005114
AR-42+KPT-9274_2,6.1007886625564,2.92536997210137,5.50685541761214,1.38783633147003,0.369844564494918,0,9.40271483267456,0,0.683755253002961,0.793856220140258,25.6934097809094
AR-42+KPT-9274_3,1.98014750434507,3.76506499807879,3.3950596393381,6.82522153405703,0.910008791696699,0.177131498362253,6.23333648011967,0,0.696296053235984,0.767639789343083,23.2859704459976
AR-42+KPT-9274_4,2.66565326895951,3.4108448173225,4.09578641494562,3.82009267429034,1.97750256010322,0.518747421477336,4.9396811211538,0,0.753399989340953,0.735985421235636,21.4283082782523
AR-42+KPT-9274_5,2.668687587221,5.4899912211911,3.95645770330116,3.44526818223988,2.85964680359835,0.695983710136316,3.74941046200241,0,0.758044756013367,0.716692401391685,22.8654456696902
